位号,数量,元件型号,封装,值,制造商,制造商料号,描述,类别,供应商,供应商料号,单价(元),小计(元),备注
U1,1,CR8269F512E132TKM1815,QFN-32-EP,,Telink,CR8269F512E132TKM1815,32位MCU 512KB Flash 32KB SRAM 6路PWM 蓝牙5.0,集成电路,闲鱼,,1.50,1.50,已采购1000片
U2,1,AMS1117-3.3,SOT-223-3,,AMS,AMS1117-3.3,1A低压差稳压器 3.3V输出,集成电路,立创商城,C88213,0.35,0.35,
U3,1,INA219AIDCNR,SOT-23-8,,TI,INA219AIDCNR,电流/功率监测器 I2C接口,集成电路,立创商城,C107981,2.50,2.50,
U4,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
U5,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
U6,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
U7,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
U8,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
U9,1,PC817C,SMDIP-4,,Sharp,PC817C,光耦隔离器 5000Vrms,集成电路,立创商城,C106900,0.25,0.25,
Y1,1,HC-49SMD,HC-49SMD,24MHz,Yangxing,HC-49SMD-24MHz,贴片晶振 24MHz 18pF负载,无源元件,立创商城,C16212,0.30,0.30,
RV1,1,3386P-1-103LF,3386P,10kΩ,Bourns,3386P-1-103LF,5档电位器 10kΩ 顶部调节,电位器,立创商城,C319074,2.00,2.00,
J1,1,PinHeader_1x02_P2.54mm,1x02-2.54mm,,CJT,A2541WV-2P,1x2排针 2.54mm间距,连接器,立创商城,C124378,0.05,0.05,电源输入
J2,1,PinHeader_1x04_P2.54mm,1x04-2.54mm,,CJT,A2541WV-4P,1x4排针 2.54mm间距,连接器,立创商城,C124380,0.10,0.10,烧录接口
J3,1,PinHeader_1x06_P2.54mm,1x06-2.54mm,,CJT,A2541WV-6P,1x6排针 2.54mm间距,连接器,立创商城,C124382,0.15,0.15,电极输出
J4,1,PinHeader_1x02_P2.54mm,1x02-2.54mm,,CJT,A2541WV-2P,1x2排针 2.54mm间距,连接器,立创商城,C124378,0.05,0.05,隔离电源
SW1,1,TL3342,TL3342,,E-Switch,TL3342,贴片轻触开关 3.5×6mm,开关,立创商城,C92584,0.15,0.15,复位按钮
SW2,1,TL3342,TL3342,,E-Switch,TL3342,贴片轻触开关 3.5×6mm,开关,立创商城,C92584,0.15,0.15,急停按钮
D1,1,KT-0603G,0603,,Kento,KT-0603G,贴片LED 绿色 0603,LED,立创商城,C72043,0.05,0.05,状态指示
D2,1,BZX84C24, SOT-23,,ON Semi,BZX84C24,齐纳二极管 24V SOT-23,二极管,立创商城,C8598,0.10,0.10,过压保护
F1,1,1206L050/24YR,1206,,Littelfuse,1206L050/24YR,PTC自恢复保险丝 500mA 24V,保险丝,立创商城,C3699,0.20,0.20,过流保护
R1,1,RC0603FR-0710KL,0603,10kΩ,Yageo,RC0603FR-0710KL,贴片电阻 10kΩ 1% 0603,电阻,立创商城,C25804,0.01,0.01,复位上拉
R2,1,RC0603FR-0710KL,0603,10kΩ,Yageo,RC0603FR-0710KL,贴片电阻 10kΩ 1% 0603,电阻,立创商城,C25804,0.01,0.01,SWS上拉
R3,1,RC0603FR-071KL,0603,1kΩ,Yageo,RC0603FR-071KL,贴片电阻 1kΩ 1% 0603,电阻,立创商城,C25803,0.01,0.01,LED限流
R4,1,RC0603FR-0710KL,0603,10kΩ,Yageo,RC0603FR-0710KL,贴片电阻 10kΩ 1% 0603,电阻,立创商城,C25804,0.01,0.01,急停上拉
R5,1,RC0603FR-0710KL,0603,10kΩ,Yageo,RC0603FR-0710KL,贴片电阻 10kΩ 1% 0603,电阻,立创商城,C25804,0.01,0.01,电位器分压
R6,1,RL1206FR-070R1L,1206,0.1Ω,Yageo,RL1206FR-070R1L,贴片电阻 0.1Ω 1% 1206,电阻,立创商城,C22775,0.10,0.10,电流采样
R7,1,RC0603FR-074K7L,0603,4.7kΩ,Yageo,RC0603FR-074K7L,贴片电阻 4.7kΩ 1% 0603,电阻,立创商城,C25810,0.01,0.01,I2C上拉
R8,1,RC0603FR-074K7L,0603,4.7kΩ,Yageo,RC0603FR-074K7L,贴片电阻 4.7kΩ 1% 0603,电阻,立创商城,C25810,0.01,0.01,I2C上拉
R9,1,RC0603FR-07330RL,0603,330Ω,Yageo,RC0603FR-07330RL,贴片电阻 330Ω 1% 0603,电阻,立创商城,C25808,0.01,0.01,光耦输入限流
R10,1,RC0603FR-07100RL,0603,100Ω,Yageo,RC0603FR-07100RL,贴片电阻 100Ω 1% 0603,电阻,立创商城,C25805,0.01,0.01,光耦输出限流
R11,1,RC0603FR-07330RL,0603,330Ω,Yageo,RC0603FR-07330RL,贴片电阻 330Ω 1% 0603,电阻,立创商城,C25808,0.01,0.01,光耦输入限流
R12,1,RC0603FR-07100RL,0603,100Ω,Yageo,RC0603FR-07100RL,贴片电阻 100Ω 1% 0603,电阻,立创商城,C25805,0.01,0.01,光耦输出限流
R13,1,RC0603FR-07330RL,0603,330Ω,Yageo,RC0603FR-07330RL,贴片电阻 330Ω 1% 0603,电阻,立创商城,C25808,0.01,0.01,光耦输入限流
R14,1,RC0603FR-07100RL,0603,100Ω,Yageo,RC0603FR-07100RL,贴片电阻 100Ω 1% 0603,电阻,立创商城,C25805,0.01,0.01,光耦输出限流
R15,1,RC0603FR-07330RL,0603,330Ω,Yageo,RC0603FR-07330RL,贴片电阻 330Ω 1% 0603,电阻,立创商城,C25808,0.01,0.01,光耦输入限流
R16,1,RC0603FR-07100RL,0603,100Ω,Yageo,RC0603FR-07100RL,贴片电阻 100Ω 1% 0603,电阻,立创商城,C25805,0.01,0.01,光耦输出限流
R17,1,RC0603FR-07330RL,0603,330Ω,Yageo,RC0603FR-07330RL,贴片电阻 330Ω 1% 0603,电阻,立创商城,C25808,0.01,0.01,光耦输入限流
R18,1,RC0603FR-07100RL,0603,100Ω,Yageo,RC0603FR-07100RL,贴片电阻 100Ω 1% 0603,电阻,立创商城,C25805,0.01,0.01,光耦输出限流
C1,1,CL31A106KBHNNNE,1206,10uF,Samsung,CL31A106KBHNNNE,贴片电容 10uF 16V X5R 1206,电容,立创商城,C13585,0.15,0.15,输入滤波
C2,1,CL10B104KB8NNNC,0603,100nF,Samsung,CL10B104KB8NNNC,贴片电容 100nF 50V X7R 0603,电容,立创商城,C14663,0.03,0.03,输出滤波
C3,1,CL31A106KBHNNNE,1206,10uF,Samsung,CL31A106KBHNNNE,贴片电容 10uF 16V X5R 1206,电容,立创商城,C13585,0.15,0.15,输出滤波
C4,1,CL10C180JB8NNNC,0603,18pF,Samsung,CL10C180JB8NNNC,贴片电容 18pF 50V C0G 0603,电容,立创商城,C1658,0.03,0.03,晶振负载
C5,1,CL10C180JB8NNNC,0603,18pF,Samsung,CL10C180JB8NNNC,贴片电容 18pF 50V C0G 0603,电容,立创商城,C1658,0.03,0.03,晶振负载
C6,1,CL10B104KB8NNNC,0603,100nF,Samsung,CL10B104KB8NNNC,贴片电容 100nF 50V X7R 0603,电容,立创商城,C14663,0.03,0.03,电位器滤波
C7,1,CL10B104KB8NNNC,0603,100nF,Samsung,CL10B104KB8NNNC,贴片电容 100nF 50V X7R 0603,电容,立创商城,C14663,0.03,0.03,芯片去耦
C8,1,CL10B104KB8NNNC,0603,100nF,Samsung,CL10B104KB8NNNC,贴片电容 100nF 50V X7R 0603,电容,立创商城,C14663,0.03,0.03,芯片去耦
,,,,,,,,,,,,,
总计,,,,,,,,,,,,15.89,不含PCB和电极
