位号,元件型号,封装,X(mm),Y(mm),旋转角度,层,注释
U1,CR8269F512E132TKM1815,QFN-32-EP,100.0,65.0,0,Top,主控芯片
U2,AMS1117-3.3,SOT-223-3,70.0,55.0,0,Top,稳压器
U3,INA219AIDCNR,SOT-23-8,85.0,55.0,0,Top,电流检测
U4,PC817C,SMDIP-4,75.0,95.0,0,Top,光耦CH0
U5,PC817C,SMDIP-4,90.0,95.0,0,Top,光耦CH1
U6,PC817C,SMDIP-4,105.0,95.0,0,Top,光耦CH2
U7,PC817C,SMDIP-4,120.0,95.0,0,Top,光耦CH3
U8,PC817C,SMDIP-4,135.0,95.0,0,Top,光耦CH4
U9,PC817C,SMDIP-4,75.0,110.0,0,Top,光耦CH5
Y1,HC-49SMD,HC-49SMD,115.0,60.0,0,Top,晶振24MHz
RV1,3386P-1-103LF,3386P,60.0,70.0,0,Top,5档电位器
J1,PinHeader_1x02_P2.54mm,1x02-2.54mm,55.0,50.0,0,Top,电源输入
J2,PinHeader_1x04_P2.54mm,1x04-2.54mm,140.0,50.0,0,Top,烧录接口
J3,PinHeader_1x06_P2.54mm,1x06-2.54mm,140.0,110.0,0,Top,电极输出
J4,PinHeader_1x02_P2.54mm,1x02-2.54mm,55.0,110.0,0,Top,隔离电源
SW1,TL3342,TL3342,125.0,70.0,0,Top,复位按钮
SW2,TL3342,TL3342,125.0,80.0,0,Top,急停按钮
D1,KT-0603G,0603,135.0,75.0,0,Top,状态LED
D2,BZX84C24,SOT-23,130.0,100.0,0,Top,齐纳二极管
F1,1206L050/24YR,1206,60.0,55.0,0,Top,保险丝
R1,RC0603FR-0710KL,0603,120.0,65.0,0,Top,复位上拉
R2,RC0603FR-0710KL,0603,130.0,65.0,0,Top,SWS上拉
R3,RC0603FR-071KL,0603,140.0,70.0,0,Top,LED限流
R4,RC0603FR-0710KL,0603,115.0,80.0,0,Top,急停上拉
R5,RC0603FR-0710KL,0603,55.0,65.0,0,Top,电位器分压
R6,RL1206FR-070R1L,1206,80.0,60.0,0,Top,电流采样
R7,RC0603FR-074K7L,0603,90.0,50.0,0,Top,I2C上拉
R8,RC0603FR-074K7L,0603,95.0,50.0,0,Top,I2C上拉
R9,RC0603FR-07330RL,0603,70.0,90.0,0,Top,光耦输入限流
R10,RC0603FR-07100RL,0603,80.0,100.0,0,Top,光耦输出限流
R11,RC0603FR-07330RL,0603,85.0,90.0,0,Top,光耦输入限流
R12,RC0603FR-07100RL,0603,95.0,100.0,0,Top,光耦输出限流
R13,RC0603FR-07330RL,0603,100.0,90.0,0,Top,光耦输入限流
R14,RC0603FR-07100RL,0603,110.0,100.0,0,Top,光耦输出限流
R15,RC0603FR-07330RL,0603,115.0,90.0,0,Top,光耦输入限流
R16,RC0603FR-07100RL,0603,125.0,100.0,0,Top,光耦输出限流
R17,RC0603FR-07330RL,0603,130.0,90.0,0,Top,光耦输入限流
R18,RC0603FR-07100RL,0603,140.0,100.0,0,Top,光耦输出限流
C1,CL31A106KBHNNNE,1206,65.0,55.0,0,Top,输入滤波
C2,CL10B104KB8NNNC,0603,75.0,50.0,0,Top,输出滤波
C3,CL31A106KBHNNNE,1206,85.0,50.0,0,Top,输出滤波
C4,CL10C180JB8NNNC,0603,110.0,55.0,0,Top,晶振负载
C5,CL10C180JB8NNNC,0603,120.0,55.0,0,Top,晶振负载
C6,CL10B104KB8NNNC,0603,60.0,75.0,0,Top,电位器滤波
C7,CL10B104KB8NNNC,0603,95.0,70.0,0,Top,芯片去耦
C8,CL10B104KB8NNNC,0603,105.0,70.0,0,Top,芯片去耦
